Episode,Score,Steps,Epsilon,GhostsEaten
777,320,90,0.7328148679602767,0
778,50,14,0.7325217420130926,0
779,290,181,0.7322287333162875,0
780,70,20,0.731935841822961,0
781,330,81,0.7316430674862319,0
782,60,23,0.7313504102592374,0
783,280,259,0.7310578700951338,0
784,290,190,0.7307654469470958,0
785,160,46,0.7304731407683169,0
786,350,166,0.7301809515120097,0
787,320,108,0.7298888791314049,0
788,340,100,0.7295969235797524,0
789,320,54,0.7293050848103205,0
790,420,140,0.7290133627763964,0
791,30,21,0.7287217574312859,0
792,290,197,0.7284302687283134,0
793,350,117,0.7281388966208221,0
794,290,148,0.7278476410621738,0
795,880,115,0.727556502005749,0
796,70,28,0.7272654794049467,0
797,190,101,0.7269745732131847,0
798,20,6,0.7266837833838995,0
799,370,244,0.726393109870546,0
800,130,61,0.7261025526265977,0
801,90,58,0.7258121116055472,0
802,360,410,0.725521786760905,0
803,60,24,0.7252315780462006,0
804,400,127,0.7249414854149822,0
805,280,109,0.7246515088208162,0
806,280,172,0.7243616482172879,0
807,60,13,0.724071903558001,0
808,410,156,0.7237822747965779,0
809,300,228,0.7234927618866592,0
810,120,50,0.7232033647819046,0
811,240,218,0.7229140834359918,0
812,140,94,0.7226249178026175,0
813,350,137,0.7223358678354965,0
814,90,73,0.7220469334883624,0
815,350,211,0.7217581147149671,0
816,40,9,0.7214694114690812,0
817,320,175,0.7211808237044935,0
818,370,246,0.7208923513750117,0
